superpop,pathway,n_genes,n_below,expected_below,fold,perm_p,q
AFR,GO:Positive Regulation Of Interleukin-17 Production (GO:0032740),24,5,2.2281500078455987,2.244014084507042,0.0671,1.0
AFR,GO:Regulation Of Dendrite Extension (GO:1903859),17,4,1.5782729222239658,2.5344159072079533,0.06715,1.0
AFR,GO:rRNA Transcription (GO:0009303),17,4,1.5782729222239658,2.5344159072079533,0.0678,1.0
AFR,GO:Muscle Tissue Morphogenesis (GO:0060415),17,4,1.5782729222239658,2.5344159072079533,0.0679,1.0
AFR,GO:Protein Complex Oligomerization (GO:0051259),98,14,9.09827919870286,1.5387525150905434,0.0679,1.0
AFR,GO:Protein Ufmylation (GO:0071569),5,2,0.46419791830116636,4.308507042253521,0.068,1.0
AFR,GO:Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562),17,4,1.5782729222239658,2.5344159072079533,0.06825,1.0
AFR,GO:Embryonic Skeletal Joint Development (GO:0072498),5,2,0.46419791830116636,4.308507042253521,0.06855,1.0
AFR,GO:Embryonic Digit Morphogenesis (GO:0042733),17,4,1.5782729222239658,2.5344159072079533,0.06875,1.0
AFR,GO:Regulation Of Vitamin D Biosynthetic Process (GO:0060556),5,2,0.46419791830116636,4.308507042253521,0.06875,1.0
AFR,GO:Postsynaptic Density Assembly (GO:0097107),5,2,0.46419791830116636,4.308507042253521,0.06895,1.0
AFR,GO:Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469),5,2,0.46419791830116636,4.308507042253521,0.0695,1.0
AFR,GO:Sequestering Of Actin Monomers (GO:0042989),5,2,0.46419791830116636,4.308507042253521,0.06955,1.0
